algo1 : 0 | 11 is prime
algo1 : 0 | 11 Processing time: 0 milliseconds(s)
algo1 : 1 | 240000029 is prime
algo1 : 1 | 240000029 Processing time: 2761 milliseconds(s)
algo1 : 2 | 480000077 is prime
algo1 : 2 | 480000077 Processing time: 4959 milliseconds(s)
algo1 : 3 | 720000103 is prime
algo1 : 3 | 720000103 Processing time: 8098 milliseconds(s)
algo1 : 4 | 960000131 is prime
algo1 : 4 | 960000131 Processing time: 9850 milliseconds(s)
algo1 : 5 | 1200000133 is prime
algo1 : 5 | 1200000133 Processing time: 12321 milliseconds(s)
algo1 : 6 | 1440000137 is prime
algo1 : 6 | 1440000137 Processing time: 14926 milliseconds(s)
algo1 : 7 | 1680000149 is prime
algo1 : 7 | 1680000149 Processing time: 19171 milliseconds(s)
algo1 : 8 | 1920000161 is prime
algo1 : 8 | 1920000161 Processing time: 20413 milliseconds(s)
algo1 : 9 | 2160000163 is prime
algo1 : 9 | 2160000163 Processing time: 22414 milliseconds(s)
algo1 : 10 | 2400000167 is prime
algo1 : 10 | 2400000167 Processing time: 26010 milliseconds(s)
algo1 : 11 | 2640000217 is prime
algo1 : 11 | 2640000217 Processing time: 27852 milliseconds(s)
algo1 : 12 | 2880000251 is prime
algo1 : 12 | 2880000251 Processing time: 30321 milliseconds(s)
algo1 : 13 | 3120000253 is prime
algo1 : 13 | 3120000253 Processing time: 32612 milliseconds(s)
algo1 : 14 | 3360000257 is prime
algo1 : 14 | 3360000257 Processing time: 36047 milliseconds(s)
algo1 : 15 | 3600000269 is prime
algo1 : 15 | 3600000269 Processing time: 38586 milliseconds(s)
algo1 : 16 | 3840000289 is prime
algo1 : 16 | 3840000289 Processing time: 41003 milliseconds(s)
algo1 : 17 | 4080000293 is prime
algo1 : 17 | 4080000293 Processing time: 41823 milliseconds(s)
algo1 : 18 | 4320000329 is prime
algo1 : 18 | 4320000329 Processing time: 47392 milliseconds(s)
algo1 : 19 | 4560000343 is prime
algo1 : 19 | 4560000343 Processing time: 50661 milliseconds(s)
algo1 : 20 | 4800000347 is prime
algo1 : 20 | 4800000347 Processing time: 55063 milliseconds(s)
algo1 : 21 | 5040000443 is prime
algo1 : 21 | 5040000443 Processing time: 60289 milliseconds(s)
algo1 : 22 | 5280000461 is prime
algo1 : 22 | 5280000461 Processing time: 64264 milliseconds(s)
algo1 : 23 | 5520000463 is prime
algo1 : 23 | 5520000463 Processing time: 70522 milliseconds(s)
algo1 : 24 | 5760000473 is prime
algo1 : 24 | 5760000473 Processing time: 74286 milliseconds(s)
algo1 : 25 | 6000000511 is prime
algo1 : 25 | 6000000511 Processing time: 78049 milliseconds(s)
algo1 : 26 | 6240000581 is prime
algo1 : 26 | 6240000581 Processing time: 83788 milliseconds(s)
algo1 : 27 | 6480000589 is prime
algo1 : 27 | 6480000589 Processing time: 90204 milliseconds(s)
algo1 : 28 | 6720000593 is prime
algo1 : 28 | 6720000593 Processing time: 93460 milliseconds(s)
algo1 : 29 | 6960000613 is prime
algo1 : 29 | 6960000613 Processing time: 97878 milliseconds(s)
algo1 : 30 | 7200000623 is prime
algo1 : 30 | 7200000623 Processing time: 102012 milliseconds(s)
algo1 : 31 | 7440000629 is prime
algo1 : 31 | 7440000629 Processing time: 106453 milliseconds(s)
algo1 : 32 | 7680000703 is prime
algo1 : 32 | 7680000703 Processing time: 111128 milliseconds(s)
algo1 : 33 | 7920000707 is prime
algo1 : 33 | 7920000707 Processing time: 116432 milliseconds(s)
algo1 : 34 | 8160000721 is prime
algo1 : 34 | 8160000721 Processing time: 120660 milliseconds(s)
algo1 : 35 | 8400000727 is prime
algo1 : 35 | 8400000727 Processing time: 126314 milliseconds(s)
algo1 : 36 | 8640000749 is prime
algo1 : 36 | 8640000749 Processing time: 127627 milliseconds(s)
algo1 : 37 | 8880000757 is prime
algo1 : 37 | 8880000757 Processing time: 132888 milliseconds(s)
algo1 : 38 | 9120000809 is prime
algo1 : 38 | 9120000809 Processing time: 138269 milliseconds(s)
algo1 : 39 | 9360000827 is prime
algo1 : 39 | 9360000827 Processing time: 142460 milliseconds(s)
algo2 : 0 | 9600000833 is prime
algo2 : 0 | 9600000833 Processing time: 57569 milliseconds(s)
algo2 : 1 | 9840000869 is prime
algo2 : 1 | 9840000869 Processing time: 59577 milliseconds(s)
algo2 : 2 | 11 is prime
algo2 : 2 | 11 Processing time: 0 milliseconds(s)
algo2 : 3 | 240000029 is prime
algo2 : 3 | 240000029 Processing time: 1304 milliseconds(s)
algo2 : 4 | 480000077 is prime
algo2 : 4 | 480000077 Processing time: 3006 milliseconds(s)
algo2 : 5 | 720000103 is prime
algo2 : 5 | 720000103 Processing time: 4244 milliseconds(s)
algo2 : 6 | 960000131 is prime
